appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
1,A Bastard's Tale,2015-05-26,1,No Pest Productions,No Pest Productions,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Indie;Action;Adventure,10,164,38,408,408,20000-50000,3.99
2,A Bewitching Revolution,2019-04-09,1,Colestia,Colestia,windows;mac,0,Single-player,Indie,Indie,0,25,1,0,0,0-20000,0.0
3,A Bird Story,2014-11-07,1,Freebird Games,Freebird Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Indie;RPG,Indie;Story Rich;Great Soundtrack,1,5987,1147,257,476,200000-500000,2.79
4,A Blind Legend,2016-04-07,1,Dowino,Plug In Digital,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Adventure;Action;Indie,10,136,34,189,189,0-20000,4.99
5,A Bloody Night,2017-06-22,1,Emanuele Leoncilli,Emanuele Leoncilli,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Violent;Gore;Action;Indie,Action;Gore;Violent,27,60,16,0,0,0-20000,3.99
6,A Bloody Party,2019-01-24,1,Michaela Laws,Michaela Laws,windows;mac;linux,0,Single-player;Steam Achievements,Adventure;Casual;Indie;RPG;Simulation,Adventure;Indie;Casual,13,3,2,0,0,0-20000,3.99
7,A Book of Beasts and Buddies,2018-11-14,1,Squiddershins,Squiddershins,windows,0,Single-player,Adventure;Casual;Free to Play;Indie;RPG;Simulation,Free to Play;Adventure;RPG,0,167,3,0,0,20000-50000,0.0
8,A Boy and His Beard,2018-02-09,1,Pixel Island,Pixel Island,windows,0,Single-player;Partial Controller Support,Action;Casual;Free to Play;Indie,Free to Play;Action;Indie,0,36,15,0,0,0-20000,0.0
9,A Boy and His Blob,2016-01-19,1,Abstraction Games;WayForward,Midnight City;Majesco Entertainment,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure,Adventure;Puzzle-Platformer;Puzzle,21,253,118,108,108,50000-100000,6.99
10,A Business Power,2018-12-02,1,S.A. DigiWorks,S.A. DigiWorks,windows,0,Single-player,Simulation,Simulation,0,0,2,0,0,0-20000,3.99
